GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
mutant,com.ml.mutant.Controller,MutantController,8,21,0,2,1,4,1,3,1,2
mutant,com.ml.mutant,ExecutorConfig,0,31,0,0,0,9,0,2,0,2
mutant,com.ml.mutant,MutantApplication,5,3,0,0,2,1,1,1,1,1
mutant,com.ml.mutant,CachingConfig,0,13,0,0,0,2,0,2,0,2
mutant,com.ml.mutant.model,MutantResultModel,13,11,0,0,5,5,4,3,4,3
mutant,com.ml.mutant.model,MutantResquest,0,16,0,0,0,8,0,4,0,4
mutant,com.ml.mutant.model,Stat,6,18,0,0,2,8,2,5,2,5
mutant,com.ml.mutant.service.impl,MutantSerciveImpl,4,42,0,0,1,6,1,2,1,2
mutant,com.ml.mutant.service.impl,MutantResultServiceImpl,12,82,4,6,2,18,4,5,0,4
mutant,com.ml.mutant.service.impl,SequencesVerifier,2,413,3,57,2,91,3,36,0,9
